file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,4030126,"(960, 540)","(144.81613425925926, 129.03360918209876, 113.03677276234568)",8,1174853,25.0,35.685861,0.98797,4.5069215297698975
video8.mp4,12.679,794105,"(1280, 576)","(133.20619032118057, 112.42557915581598, 108.05111490885417)",8,489786,30.0,28.897554,0.974137,1.9601893424987793
video14.mp4,10.044,2258643,"(1024, 576)","(105.91926913791232, 102.87961832682291, 106.79175313313802)",8,1661508,29.97,31.655984,0.975486,2.5679619312286377
video1.mp4,24.2,2066095,"(2732, 848)","(16.762051869526783, 16.8532935992707, 17.10697723003398)",8,619196,30.0,27.042284,0.889291,7.656764268875122
video11.mp4,181.034,51798877,"(1280, 630)","(125.35303695436508, 129.21946180555557, 108.31331349206349)",8,2149239,30.0,33.2696,0.981134,46.895814180374146
video5.mp4,9.814,2263331,"(1280, 720)","(107.94782769097222, 110.98503146701388, 120.12580729166666)",8,1704926,29.97002997002997,31.300014,0.953735,2.9464335441589355
video7.mp4,8.278,781473,"(1280, 720)","(74.54378689236111, 82.30730034722222, 107.25639756944445)",8,743220,29.97002997002997,33.384933,0.983792,1.7271239757537842
video12.mp4,35.765,18280584,"(720, 1280)","(133.1564377170139, 131.03706163194445, 128.42753797743055)",8,3952828,29.666666666666668,32.141551,0.96785,12.975463628768921
video13.mp4,11.703,2740083,"(576, 1024)","(104.94938151041666, 116.42555914984808, 122.68747117784288)",8,1732489,60.0,32.769682,0.979691,4.5195841789245605
video15.mp4,10.048,5152460,"(1280, 720)","(122.48577582465278, 113.61386610243055, 106.57843858506945)",8,4096006,25.0,32.689089,0.973026,3.358203172683716
video2.mp4,308.06,31542837,"(640, 360)","(49.023272569444444, 113.85868489583333, 80.5014453125)",8,683014,25.0,31.196134,0.922538,28.41974449157715
video4.mp4,6.23,527314,"(1280, 720)","(89.3340234375, 68.03562934027778, 80.42770073784722)",8,542008,23.976023976023978,32.80395,0.985389,1.180185079574585
video3.mp4,117.967,7161766,"(1364, 768)","(20.642087457233625, 23.218906555474096, 22.030910160068427)",8,483005,30.0,28.230398,0.932308,18.40789222717285
video9.mp4,8.854,1157770,"(960, 540)","(135.1361149691358, 125.13851466049383, 114.29674768518518)",8,1038121,25.0,34.360396,0.987747,1.6770222187042236
video6.mp4,9.195,1567909,"(1280, 720)","(103.18295030381944, 114.93833658854166, 113.61978732638889)",8,1225860,29.97002997002997,31.301381,0.971887,2.4377784729003906
