file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,1391497,"(960, 540)","(144.84806905864198, 128.95570601851853, 113.07998070987655)",,398956,25.0,35.512658,0.984482,214.57431364059448
video8.mp4,12.679,367887,"(1280, 576)","(133.21336669921877, 112.39506700303819, 108.05748697916667)",,219150,30.0,28.850518,0.969738,77.81460690498352
video14.mp4,10.044,1242709,"(1024, 576)","(105.92946709526909, 102.80802069769965, 106.73442925347221)",,850087,29.97,31.616329,0.970723,123.43160557746887
video1.mp4,24.2,1573854,"(2732, 848)","(16.760503138898866, 16.852928861985138, 17.10548461283461)",,455441,30.0,27.050104,0.889398,228.80512833595276
video11.mp4,181.034,22928193,"(1280, 630)","(125.34413070436509, 129.1582775297619, 108.2519035218254)",,871905,30.0,33.006191,0.974801,2408.977033138275
video5.mp4,9.814,1199814,"(1280, 720)","(107.96309461805555, 110.94924370659722, 120.13545464409722)",,835417,29.97002997002997,31.265585,0.951015,115.34152698516846
video7.mp4,8.278,381407,"(1280, 720)","(74.45654188368056, 82.20363389756945, 107.2953927951389)",,353713,29.97002997002997,33.318736,0.979298,63.220065116882324
video12.mp4,35.765,8091889,"(720, 1280)","(133.2897601996528, 130.957900390625, 128.436337890625)",,1672783,29.666666666666668,31.908843,0.955707,656.9234116077423
video13.mp4,11.703,1343436,"(576, 1024)","(104.985107421875, 116.29314337836371, 122.60887654622395)",,773939,60.0,32.589941,0.972829,193.6153974533081
video15.mp4,10.048,2337357,"(1280, 720)","(122.49867513020833, 113.56184244791666, 106.55889973958334)",,1850753,25.0,32.494112,0.965149,169.72857522964478
video2.mp4,308.06,19457319,"(640, 360)","(48.99904079861111, 113.82430989583334, 80.48383680555555)",,368892,25.0,31.044856,0.916516,1658.2577230930328
video4.mp4,6.23,347004,"(1280, 720)","(89.30719292534722, 68.01086263020834, 80.38518012152778)",,306537,23.976023976023978,32.687534,0.980396,34.19539737701416
video3.mp4,117.967,2798513,"(1364, 768)","(20.699950933223363, 23.216534358198924, 22.094795294171554)",,186627,30.0,28.237503,0.929416,553.7685906887054
video9.mp4,8.854,406163,"(960, 540)","(135.07102237654323, 125.04474151234568, 114.37905478395062)",,355465,25.0,34.262594,0.984434,57.72854161262512
video6.mp4,9.195,832103,"(1280, 720)","(103.20847547743055, 114.83911458333333, 113.63788953993055)",,582023,29.97002997002997,31.247088,0.969045,83.71888995170593
