file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,116932,"(960, 540)","(145.22266203703705, 127.12577932098766, 111.80164351851852)",8,25604,25.0,28.177173,0.889719,3.608487844467163
video8.mp4,12.679,82622,"(1280, 576)","(135.69578179253472, 111.96746961805556, 109.61516791449654)",8,40428,30.0,26.222107,0.894802,1.6416549682617188
video14.mp4,10.044,271066,"(1024, 576)","(106.22179158528645, 103.72025214301215, 109.1702660454644)",8,78314,29.97,24.158877,0.752322,1.9940345287322998
video1.mp4,24.2,416887,"(2732, 848)","(22.245804010469904, 17.985613380203873, 22.027529679687284)",8,74008,30.0,25.411876,0.852048,8.670212507247925
video11.mp4,181.034,4863201,"(1280, 630)","(126.70495907738095, 129.91784350198412, 109.83882316468254)",8,75116,30.0,27.173127,0.829475,33.98355031013489
video5.mp4,9.814,284401,"(1280, 720)","(109.57825303819445, 109.754111328125, 120.79691189236111)",8,91087,29.97002997002997,24.398518,0.804146,2.3425686359405518
video7.mp4,8.278,54876,"(1280, 720)","(75.23186957465278, 82.20597113715277, 108.54928385416666)",8,40764,29.97002997002997,26.274857,0.808301,1.34879469871521
video12.mp4,35.765,1109627,"(720, 1280)","(135.01467122395835, 129.99051540798612, 128.85638563368056)",8,111883,29.666666666666668,24.939945,0.756082,8.55630874633789
video13.mp4,11.703,378852,"(576, 1024)","(107.31210327148438, 116.55306498209634, 124.51643710666232)",8,115669,60.0,24.47985,0.77703,3.739546537399292
video15.mp4,10.048,124787,"(1280, 720)","(122.77719943576389, 112.0938400607639, 105.376279296875)",8,89892,25.0,25.261486,0.800942,2.0881717205047607
video2.mp4,308.06,6678357,"(640, 360)","(49.87196614583333, 113.76846788194445, 81.07390190972222)",8,37270,25.0,24.390747,0.747269,24.114232540130615
video4.mp4,6.23,128945,"(1280, 720)","(90.179580078125, 67.65625434027778, 81.518525390625)",8,29187,23.976023976023978,26.136977,0.788458,1.0685374736785889
video3.mp4,117.967,242715,"(1364, 768)","(24.681075497922777, 23.935247128543498, 24.80641342864125)",8,13790,30.0,27.050329,0.87384,14.396071434020996
video9.mp4,8.854,39768,"(960, 540)","(136.04720100308643, 124.18610146604938, 114.03762924382717)",8,26354,25.0,27.484464,0.893194,1.1026296615600586
video6.mp4,9.195,239597,"(1280, 720)","(105.22053059895833, 113.746259765625, 113.72873697916667)",8,67764,29.97002997002997,24.799842,0.824089,1.8585450649261475
