file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,101966,"(960, 540)","(145.34956404320988, 128.9520235339506, 112.2378800154321)",,20238,25.0,29.317727,0.894768,7.500711917877197
video8.mp4,12.679,71909,"(1280, 576)","(134.69256456163194, 112.20823703342015, 108.03609347873264)",,32038,30.0,27.326911,0.905886,4.123525381088257
video14.mp4,10.044,217822,"(1024, 576)","(104.07418484157985, 104.50679016113281, 105.71345180935329)",,33716,29.97,24.677309,0.756679,4.1327598094940186
video1.mp4,24.2,336266,"(2732, 848)","(15.425748121495069, 16.582678820547528, 17.086810495455676)",,46315,30.0,26.294182,0.868406,17.132747888565063
video11.mp4,181.034,4024926,"(1280, 630)","(126.31146205357143, 129.19033482142856, 108.72531498015873)",,36551,30.0,27.719717,0.827297,99.25369644165039
video5.mp4,9.814,245369,"(1280, 720)","(109.07982530381945, 110.81380859375, 120.49680989583334)",,57053,29.97002997002997,25.015809,0.811771,4.048023462295532
video7.mp4,8.278,48550,"(1280, 720)","(73.56424045138888, 82.26336154513889, 107.92863064236111)",,31888,29.97002997002997,27.312733,0.826874,3.1294684410095215
video12.mp4,35.765,835623,"(720, 1280)","(134.1283940972222, 130.69762044270834, 128.10949761284724)",,49605,29.666666666666668,25.647239,0.768477,15.76374864578247
video13.mp4,11.703,319331,"(576, 1024)","(105.9347432454427, 115.9072536892361, 123.86705525716145)",,72728,60.0,25.315742,0.78217,6.791147470474243
video15.mp4,10.048,86855,"(1280, 720)","(123.98862738715277, 113.2393359375, 106.344443359375)",,57522,25.0,26.215208,0.806774,3.907289981842041
video2.mp4,308.06,6190161,"(640, 360)","(49.19224826388889, 114.78820746527778, 80.96196614583333)",,24259,25.0,24.732976,0.743373,42.66293144226074
video4.mp4,6.23,128130,"(1280, 720)","(88.72165798611111, 67.89392795138889, 81.30498155381945)",,24775,23.976023976023978,27.109275,0.822984,1.8421776294708252
video3.mp4,117.967,309067,"(1364, 768)","(23.967111895161292, 24.44209738514174, 24.91490255376344)",,17702,30.0,27.205199,0.879336,37.936761140823364
video9.mp4,8.854,34189,"(960, 540)","(135.53277970679014, 125.05919174382716, 114.18820794753087)",,18832,25.0,29.312165,0.900985,2.316164970397949
video6.mp4,9.195,218566,"(1280, 720)","(104.83619249131945, 115.21961046006945, 113.39828776041666)",,47076,29.97002997002997,25.427706,0.838617,3.4738943576812744
