file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,1111006,"(960, 540)","(144.88571952160495, 128.9594926697531, 113.0447550154321)",,316886,25.0,35.152478,0.978727,7.901455402374268
video8.mp4,12.679,313546,"(1280, 576)","(133.17807345920139, 112.41456434461806, 108.02722303602431)",,184883,30.0,28.804888,0.965919,4.124701023101807
video14.mp4,10.044,934514,"(1024, 576)","(105.77169630262586, 102.78202141655815, 106.79442850748697)",,604975,29.97,31.04237,0.958377,3.988356828689575
video1.mp4,24.2,1333658,"(2732, 848)","(16.762213303544296, 16.852246868007402, 17.102573620818255)",,376399,30.0,27.031192,0.888529,14.349825143814087
video11.mp4,181.034,18878688,"(1280, 630)","(125.31252976190476, 129.14839161706348, 108.20448288690476)",,693258,30.0,32.743109,0.966485,88.66847896575928
video5.mp4,9.814,957766,"(1280, 720)","(107.97715277777777, 110.92780164930555, 120.06626736111112)",,638373,29.97002997002997,30.941349,0.946129,4.347891092300415
video7.mp4,8.278,305992,"(1280, 720)","(74.57047743055556, 82.20822157118056, 107.30989908854167)",,281124,29.97002997002997,33.028007,0.972373,3.0705888271331787
video12.mp4,35.765,6173084,"(720, 1280)","(133.31755533854167, 130.97227105034722, 128.39752061631944)",,1243874,29.666666666666668,31.373207,0.938993,21.144922494888306
video13.mp4,11.703,1112795,"(576, 1024)","(104.9906989203559, 116.27432759602864, 122.74285549587673)",,616726,60.0,32.085762,0.963517,8.157358169555664
video15.mp4,10.048,1884644,"(1280, 720)","(122.50457139756945, 113.60278211805556, 106.51734483506945)",,1490342,25.0,32.001545,0.954343,5.853353261947632
video2.mp4,308.06,17769021,"(640, 360)","(49.03507378472222, 113.770390625, 80.41594618055555)",,325215,25.0,30.618416,0.906427,59.66124153137207
video4.mp4,6.23,295104,"(1280, 720)","(89.33587999131944, 67.97639865451389, 80.45027886284723)",,240020,23.976023976023978,32.366359,0.973546,1.6092476844787598
video3.mp4,117.967,1930335,"(1364, 768)","(20.660373900293255, 23.227982954545453, 22.049215695259043)",,127940,30.0,28.196877,0.926462,32.94512057304382
video9.mp4,8.854,327727,"(960, 540)","(135.21892168209877, 125.05433063271606, 114.39147569444445)",,284789,25.0,34.002387,0.979107,2.459352493286133
video6.mp4,9.195,663515,"(1280, 720)","(103.14037977430556, 114.85923177083333, 113.63099175347222)",,435370,29.97002997002997,30.998675,0.965101,3.63112735748291
